Agency Code,Agency Name,GEOID
13793,Cahokia Police,1600000US1710370
13794,Brooklyn Police,1600000US1708667
13795,Belleville Police,1600000US1704845
13796,Alorton Police,1600000US1700958
13797,Saline County Sheriff,
13798,Harrisburg Police,1600000US1733136
13799,Galatia Police,1600000US1728261
13800,Eldorado Police,1600000US1723009
13801,Carrier Mills Police,1600000US1711397
13802,Williamsville Police,1600000US1781854
13803,University Of Illinois Springfield Police,
13804,Thayer Police,1600000US1774860
13805,Springfield Police,1600000US1772000
13806,Springfield Park District Police,
13807,Southern View Police,1600000US1770759
13808,Sherman Police,1600000US1769342
13809,Secretary Of State Police,
13810,Sangamon County Sheriff,
13811,Rochester Police,1600000US1764759
13812,Riverton Police,1600000US1764486
13813,Pleasant Plains Police,1600000US1760599
13814,Pawnee Police,1600000US1758174
13815,New Berlin Police,1600000US1752168
13816,Buffalo-Mechanicsburg Police,
13817,Loami Police,1600000US1744173
13818,Lincoln Land Community College Police,
13819,Leland Grove Police,1600000US1742769
13820,Jerome Police,1600000US1738375
13821,Illiopolis Police,1600000US1737127
13823,Illinois Department Of Natural Resources Police,
13824,Grandview Police,1600000US1730835
13825,Divernon Police,1600000US1720045
13828,Chatham Police,1600000US1712684
13829,Auburn Police,1600000US1702921
13830,Spaulding Police,1600000US1771474
13832,Schuyler County Sheriff,
13833,Rushville Police,1600000US1766339
13834,Winchester Police,1600000US1782270
13835,Scott County Sheriff,
13836,Bluffs Police,1600000US1706899
13837,Windsor Police,1600000US1782322
13838,Stewardson Police,1600000US1772650
13839,Shelbyville Police,1600000US1769186
13840,Shelby County Sheriff,
13841,Moweaqua Police,1600000US1751232
13842,Findlay Police,1600000US1726116
13843,Cowden Police,1600000US1717055
13844,Wyoming Police,1600000US1783687
13845,Toulon Police,1600000US1775783
13846,Stark County Sheriff,
13847,Bradford Police,1600000US1707692
13848,Stephenson County Sheriff,
13849,Pearl City Police,1600000US1758369
13850,Orangeville Police,1600000US1756341
13851,Lena Police,1600000US1742834
13852,Freeport Police,1600000US1727884
13853,Dakota Police,1600000US1718342
13854,Cedarville Police,1600000US1712008
13855,Davis Police,1600000US1718706
13856,Freeport Park District Police,
13857,German Valley Police,1600000US1729093
13858,Ridott Police,1600000US1764044
13859,Winslow Police,1600000US1782543
13860,Washington Police,1600000US1779033
13861,Tremont Police,1600000US1775965
13862,Tazewell County Sheriff,
13863,South Pekin Police,1600000US1771175
13864,Pekin Police,1600000US1758447
13865,Pekin Park District Police,
13866,North Pekin Police,1600000US1754092
13867,Morton Police,1600000US1750621
13868,Minier Police,1600000US1749555
13869,Marquette Heights Police,1600000US1747111
13870,Mackinaw Police,1600000US1745785
13872,Hopedale Police,1600000US1736126
13873,Green Valley Police,1600000US1731563
13874,East Peoria Police,1600000US1722164
13875,Delavan Police,1600000US1719226
13876,Deer Creek Police,1600000US1718940
13877,Creve Coeur Police,1600000US1717549
13878,Armington Police,1600000US1702206
13879,Union County Sheriff,
13880,Jonesboro Police,1600000US1738635
13881,Dongola Police,1600000US1720305
13882,Cobden Police,1600000US1715300
13883,Anna Police,1600000US1701543
13884,Westville Police,1600000US1780931
13885,Vermilion County Sheriff,
13886,Va Medical Center Police,
13887,Tilton Police,1600000US1775276
13888,Rossville Police,1600000US1765962
13889,Ridge Farm Police,1600000US1763862
13890,Rankin Police,1600000US1762744
13891,Indianola Police,1600000US1737348
13892,Hoopeston Police,1600000US1736061
13893,Henning Police,1600000US1734137
13894,Georgetown Police,1600000US1728963
13895,Fithian Police,1600000US1726233
13896,Fairmount Police,1600000US1724985
13897,Danville Police,1600000US1718563
13898,Catlin Police,1600000US1711774
13899,Belgium Police,1600000US1704689
13900,Wabash County Sheriff,
13901,Mount Carmel Police,1600000US1750868
13902,Warren County Sheriff,
13903,Monmouth Police,1600000US1750010
13905,Washington County Sheriff,
13906,Wamac Police,1600000US1778721
13907,Okawville Police,1600000US1755470
13908,Nashville Police,1600000US1751700
13909,Irvington Police,1600000US1737777
13910,Ashley Police,1600000US1702531
13911,Wayne County Sheriff,
13913,Fairfield Police,1600000US1724816
13914,White County Sheriff,
13915,Norris City Police,1600000US1753403
13916,Grayville Police,1600000US1731165
13917,Enfield Police,1600000US1724179
13918,Crossville Police,1600000US1717783
13919,Carmi Police,1600000US1711293
13920,Whiteside County Sheriff,
13921,Tampico Police,1600000US1774470
13922,Sterling Police,1600000US1772546
13923,Rock Falls Police,1600000US1764928
13924,Prophetstown Police,1600000US1761977
13925,Morrison Police,1600000US1750530
13926,Lyndon Police,1600000US1745278
13927,Fulton Police,1600000US1728144
13928,Erie Police,1600000US1724374
13929,Albany Police,1600000US1700516
13930,Wilmington Police,1600000US1782101
13931,Will County Sheriff,
13932,Forest Preserve District Of Will County Police,
13933,University Park Police,1600000US1776935
13934,Shorewood Police,1600000US1769758
13935,Romeoville Police,1600000US1765442
13936,Rockdale Police,1600000US1764902
13937,Plainfield Police,1600000US1760287
13938,Peotone Police,1600000US1759052
13939,New Lenox Police,1600000US1752584
13940,Monee Police,1600000US1749945
13941,Mokena Police,1600000US1749854
13942,Manhattan Police,1600000US1746357
13943,Lockport Police,1600000US1744225
13944,Lemont Police,1600000US1742795
13945,Joliet Police,1600000US1738570
13946,Joliet Junior College Police,
13947,Governors State University Police,
13949,Frankfort Police,1600000US1727624
13950,Elwood Police,1600000US1723945
13952,Crest Hill Police,1600000US1717458
13953,Channahon Police,1600000US1712476
13954,Braidwood Police,1600000US1707770
13955,Bolingbrook Police,1600000US1707133
13956,Beecher Police,1600000US1704585
13957,Williamson County Sheriff,
13958,Spillertown Police,1600000US1771526
13959,Marion Police,1600000US1746916
13960,Johnston City Police,1600000US1738544
13961,John A Logan College Police,
13962,Hurst Police,1600000US1736815
13963,Herrin Police,1600000US1734358
13965,Energy Police,1600000US1724166
13966,Desoto Police,
13967,Creal Springs Police,1600000US1717289
13968,Crainville Police,1600000US1717185
13969,Carterville Police,1600000US1711514
13970,Cambria Police,1600000US1710630
13971,Winnebago Police,1600000US1782491
13972,Winnebago County Sheriff,
13973,Roscoe Police,1600000US1765611
13974,Rockton Police,1600000US1765156
13975,Rockford Police,1600000US1765000
13977,Rock Valley College Police,
13978,Pecatonica Police,1600000US1758408
13979,Loves Park Police,1600000US1745031
13980,Durand Police,1600000US1721280
13981,Cherry Valley Police,1600000US1713074
13983,Minonk Police,1600000US1749568
13984,Metamora Police,1600000US1748606
13985,Eureka Police,1600000US1724543
13986,El Paso Police,1600000US1723737
13987,Bayview Gardens Police,
13988,Woodford County Sheriff,
13989,Spring Bay Police,1600000US1771604
13990,Washburn Police,1600000US1779007
13991,Illinois State Police,
13994,Canadian National Railway Police,
13995,Illinois Commerce Commission Police,
13996,Norwood Police,1600000US1754404
14000,Crete Police,1600000US1717523
14004,Mchenry County Conservation District Police,
14006,Broadview Police,1600000US1708446
14008,Oakwood Police,1600000US1755002
14009,Woodhull Police,1600000US1783063
14010,Crystal Lake Park District Police,
14013,Lagrange Police,
14015,Sycamore Police,1600000US1774223
14016,New Holland Police,1600000US1752545
14017,Fondulac Park District Police,
14018,Canton Park District Police,
14019,Iuka Police,1600000US1737933
14020,Hawthorn Woods Police,1600000US1733630
14021,Coatsburg Police,1600000US1715261
14022,Westfield Police,1600000US1780281
14023,Williamson Police,1600000US1781815
14024,Merrionette Park Police,1600000US1748554
14025,Ursa Police,1600000US1777044
14026,Germantown Police,1600000US1729041
14027,Morton College Police,
14029,Franklin Police,1600000US1727663
14030,Potomac Police,1600000US1761366
14031,United States Department Of Veterans Affairs - North Chicago Division,
14033,Wonderlake Police,
14034,Fyre Lake Association,
14035,Golf Police,1600000US1730328
14039,Greater Peoria Airport Authority Police,
14040,Warrensburg Police,1600000US1778916
14041,Terminal Railroad Association,
14042,Xenia Police,1600000US1783739
14043,Dupage County Forest Preserve Police,
14044,Odin Police,1600000US1755210
14045,Grantfork Police,1600000US1730978
14046,Strasburg Police,1600000US1773040
14047,Round Lake Area Park District Police,
14048,Hanover Police,1600000US1732707
14049,Alma Police,1600000US1700919
14050,Harvel Police,1600000US1733357
14051,Pierron Police,1600000US1759709
14052,Naplate Police,1600000US1751648
14053,Union Pacific Railroad-Central Police,
14054,Pontoon Beach Police,1600000US1761067
14055,Lima Police,1600000US1743445
14056,Justice Police,1600000US1738830
14057,University Of Chicago Police,
14058,Mendon Police,1600000US1748307
14059,Rockford Park District Police,
14060,Pittsburg Police,1600000US1760209
14061,Dowell Police,1600000US1720565
14062,Whiteash Police,1600000US1781165
14063,Waterman Police,1600000US1779163
14065,Brookfield Police,1600000US1708576
14066,Clayton Police,1600000US1714767
14067,Worden Police,1600000US1783505
14068,Prairie Grove Police,1600000US1761678
14069,Mulberry Grove Police,1600000US1751284
14070,South Beloit Police,1600000US1770590
14071,Milledgeville Police,1600000US1749191
14072,Alvin Police,
14074,Bonnie Police,1600000US1707263
14075,Us Veterans Administration Police-Hines Hospital,
14077,Orland Hills Police,1600000US1756627
14078,Golconda Police,1600000US1730133
14079,Naperville Park District Police,
14080,Mark Police,1600000US1746981
14081,Hillcrest Police,1600000US1734982
14082,Illinois Department Of Revenue Bureau Of Criminal Investigation,
14083,Sorento Police,1600000US1770525
14084,Columbus Police,1600000US1715846
14085,Liberty Police,1600000US1743133
14086,Shipman Police,1600000US1769563
14087,Lockport Park District Police,
14088,Kane Police,1600000US1738869
14093,Pingree Grove Police,1600000US1759988
14094,Aviation Police-Ord,
14095,Aviation Police - Mdw,
14106,Raleigh Police,1600000US1762588
14107,Cutler Police,1600000US1718225
14109,Brocton Police,1600000US1708524
14110,Willisville Police,1600000US1781867
14111,Wayne City Police,1600000US1779436
14112,Roanoke Police,1600000US1764590
14113,Hume Police,1600000US1736568
14114,Campton Hills Police,1600000US1710906
14115,Dalzell Police,1600000US1718459
14116,Hainesville Police,1600000US1732200
14117,Ina Police,1600000US1737179
14118,Johnwood Community College Campus Police,
14119,Mcclure Police,1600000US1745525
14120,St. Johns Police,1600000US1766924
14121,Inverness Police,1600000US1737608
14122,Rutland Police,1600000US1766443
14123,Stronghurst Police,1600000US1773261
14124,Plainville Police,1600000US1760339
14125,Freeman Spur Police,1600000US1727858
14126,Tri-County Drug Enforcement Narcotics Team,
14127,Mchenry County College Police,
14128,Summerfield Police,1600000US1773547
14129,White City Police,1600000US1781191
14131,Lewis University Police,
14132,Norfolk Southern Corp Police,
14134,Oquawka Police,1600000US1756237
14135,Gladstone Police,1600000US1729431
14137,Hindsboro Police,1600000US1735281
14138,Safe,
14139,Mccullom Lake Police,1600000US1745616
14140,East Cape Girardeau Police,1600000US1721605
14142,Millikin University Police,
14143,Alton And Southern Railway Police,
14145,Southern Illinois University School Of Medicine Police,
