Agency Code,Agency Name,GEOID
13172,Franklin Park Police,1600000US1727702
13173,Forest View Police,1600000US1726987
13174,Forest Park Police,1600000US1726935
13175,Ford Heights Police,1600000US1726710
13176,Flossmoor Police,1600000US1726571
13177,Evergreen Park Police,1600000US1724634
13178,Evanston Police,1600000US1724582
13179,Elmwood Park Police,1600000US1723724
13180,Elk Grove Village Police,1600000US1723256
13181,East Hazel Crest Police,1600000US1721904
13183,Dixmoor Police,1600000US1720149
13184,Des Plaines Police,1600000US1719642
13185,Crestwood Police,1600000US1717497
13186,Countryside Police,1600000US1716873
13187,Country Club Hills Police,1600000US1716691
13188,Cook County Sheriff,
13189,Cook County Forest Preserve Police,
13191,Cicero Police,1600000US1714351
13192,Chicago State University Police,
13193,Chicago Ridge Police,1600000US1714065
13194,Chicago Police,1600000US1714000
13195,Chicago Metra Police,
13196,Chicago Heights Police,1600000US1714026
13197,Calumet Park Police,1600000US1710513
13198,Calumet City Police,1600000US1710487
13199,Burnham Police,1600000US1709798
13200,Burbank Police,1600000US1709642
13204,Bridgeview Police,1600000US1708225
13205,Bnsf Railroad Police,
13206,Blue Island Police,1600000US1706704
13207,Berwyn Police,1600000US1705573
13208,Berkeley Police,1600000US1705404
13209,Bellwood Police,1600000US1704975
13210,Bedford Park Police,1600000US1704572
13211,Bartlett Police,1600000US1704013
13212,Arlington Heights Police,1600000US1702154
13213,Alsip Police,1600000US1701010
13214,Robinson Police,1600000US1764707
13215,Palestine Police,1600000US1757277
13216,Oblong Police,1600000US1755106
13217,Hutsonville Police,1600000US1736841
13218,Crawford County Sheriff,
13219,Neoga Police,1600000US1751986
13220,Greenup Police,1600000US1731524
13221,Cumberland County Sheriff,
13222,Toledo Police,1600000US1775601
13223,Dekalb County Sheriff,
13224,Somonauk Police,1600000US1770460
13225,Sauget Police,1600000US1767756
13226,Sandwich Police,1600000US1767548
13227,Northern Illinois University Police,
13228,Malta Police,1600000US1746279
13229,Kirkland Police,1600000US1740156
13230,Kingston Police,1600000US1740065
13231,Hinckley Police,1600000US1735268
13232,Genoa Police,1600000US1728898
13233,Dekalb Police,1600000US1719161
13234,Cortland Police,1600000US1716470
13235,Farmer City Police,1600000US1725414
13236,Dewitt County Sheriff,
13237,Clinton Police,1600000US1715001
13238,Villa Grove Police,1600000US1777941
13239,Tuscola Police,1600000US1776407
13240,Douglas County Sheriff,
13241,Atwood Police,1600000US1702882
13242,Arthur Police,1600000US1702414
13243,Arcola Police,1600000US1701881
13244,Newman Police,1600000US1752623
13245,Addison Police,1600000US1700243
13246,Benedictine University Police,
13247,Bensenville Police,1600000US1705248
13248,Bloomingdale Police,1600000US1706587
13249,Burr Ridge Police,1600000US1709980
13250,Carol Stream Police,1600000US1711332
13251,Clarendon Hills Police,1600000US1714572
13252,College Of Dupage Police,
13253,Darien Police,1600000US1718628
13254,Downers Grove Police,1600000US1720591
13255,Dupage County Sheriff,
13256,Elmhurst Police,1600000US1723620
13257,Fox River Valley Gard Police,
13258,Glen Ellyn Police,1600000US1729756
13259,Glendale Heights Police,1600000US1729730
13260,Hinsdale Police,1600000US1735307
13261,Itasca Police,1600000US1737907
13262,Lisle Police,1600000US1743939
13263,Lombard Police,1600000US1744407
13264,Naperville Police,1600000US1751622
13265,Oak Brook Police,1600000US1754534
13266,Oakbrook Terrace Police,1600000US1754560
13267,Roselle Police,1600000US1765806
13268,Villa Park Police,1600000US1777993
13269,Warrenville Police,1600000US1778929
13270,Wayne Police,1600000US1779397
13271,West Chicago Police,1600000US1780060
13272,Westmont Police,1600000US1780645
13273,Wheaton Police,1600000US1781048
13274,Willowbrook Police,1600000US1781919
13275,Winfield Police,1600000US1782400
13276,Wood Dale Police,1600000US1782985
13277,Woodridge Police,1600000US1783245
13278,Paris Police,1600000US1757628
13279,Kansas Police,1600000US1738986
13280,Edgar County Sheriff,
13281,Chrisman Police,1600000US1714273
13282,West Salem Police,1600000US1780853
13283,Edwards County Sheriff,
13284,Albion Police,1600000US1700568
13285,Teutopolis Police,1600000US1774743
13286,Effingham Police,1600000US1722736
13287,Effingham County Sheriff,
13288,Altamont Police,1600000US1701049
13289,Vandalia Police,1600000US1777317
13290,St. Peter Police,1600000US1767132
13291,St. Elmo Police,1600000US1766794
13292,Ramsey Police,1600000US1762627
13293,Fayette County Sheriff,
13294,Farina Police,1600000US1725375
13295,Brownstown Police,1600000US1708992
13296,Roberts Police,1600000US1764655
13297,Piper City Police,1600000US1760079
13298,Paxton Police,1600000US1758239
13299,Gibson City Police,1600000US1729125
13300,Ford County Sheriff,
13301,Zeigler Police,1600000US1784155
13302,West Frankfort Police,1600000US1780333
13303,West City Police,1600000US1780073
13304,Thompsonville Police,1600000US1775159
13305,Sesser Police,1600000US1768705
13306,Royalton Police,1600000US1766209
13307,Franklin County Sheriff,
13308,Ewing Police,1600000US1724673
13309,Christopher Police,1600000US1714286
13310,Buckner Police,1600000US1709330
13311,Benton Police,1600000US1705300
13312,Orient Police,1600000US1756536
13314,London Mills Police,1600000US1744446
13315,Lewistown Police,1600000US1743055
13316,Fulton County Sheriff,
13317,Farmington Police,1600000US1725531
13318,Fairview Police,1600000US1725063
13319,Dunfermline Police,1600000US1721098
13320,Cuba Police,1600000US1717991
13321,Canton Police,1600000US1711007
13322,Astoria Police,1600000US1702635
13323,Vermont Police,1600000US1777642
13324,Avon Police,1600000US1703207
13325,Shawneetown Police,1600000US1769082
13326,Ridgway Police,1600000US1764018
13328,Gallatin County Sheriff,
13329,Old Shawneetown Police,1600000US1755756
13330,White Hall Police,1600000US1781256
13331,Roodhouse Police,1600000US1765481
13332,Greenfield Police,1600000US1731368
13333,Greene County Sheriff,
13334,Carrollton Police,1600000US1711462
13335,Morris Police,1600000US1750491
13336,Minooka Police,1600000US1749607
13337,Mazon Police,1600000US1747787
13338,Grundy County Sheriff,
13339,Coal City Police,1600000US1715170
13340,Mcleansboro Police,1600000US1745824
13341,Hamilton County Sheriff,
13342,Warsaw Police,1600000US1778942
13343,Nauvoo Police,1600000US1751791
13344,Laharpe Police,
13345,Hancock County Sheriff,
13346,Hamilton Police,1600000US1732434
13347,Dallas City Police,1600000US1718420
13348,Carthage Police,1600000US1711527
13349,Augusta Police,1600000US1702986
13350,Plymouth Police,1600000US1760833
13351,Hardin County Sheriff,
13352,Elizabethtown Police,1600000US1723191
13353,Rosiclare Police,1600000US1765897
13354,Cave-In-Rock Police,1600000US1711826
13355,Henderson County Sheriff,
13356,Gulfport Police,
13357,Orion Police,1600000US1756601
13358,Lynwood Police,1600000US1745421
13359,Kewanee Police,1600000US1739727
13360,Henry County Sheriff,
13361,Geneseo Police,1600000US1728846
13362,Galva Police,1600000US1728430
13363,Colona Police,1600000US1715664
13364,Cambridge Police,1600000US1710643
13365,Atkinson Police,1600000US1702726
13366,Annawan Police,1600000US1701569
13367,Alpha Police,1600000US1700971
13369,Sheldon Police,1600000US1769212
13370,Onarga Police,1600000US1756081
13371,Milford Police,1600000US1749048
13372,Iroquois County Sheriff,
13373,Gilman Police,1600000US1729275
13374,Clifton Police,1600000US1714936
13376,Chebanse Police,1600000US1712801
13377,Buckley Police,1600000US1709317
13378,Ashkum Police,1600000US1702479
13379,Watseka Police,1600000US1779228
13380,Woodland Police,1600000US1783102
13381,Southern Illinois University Carbondale Police,
13382,Murphysboro Police,1600000US1751453
13383,Jackson County Sheriff,
13384,Grand Tower Police,1600000US1730770
13386,Elkville Police,1600000US1723373
13387,Carbondale Police,1600000US1711163
13388,Ava Police,1600000US1703103
13389,Newton Police,1600000US1752844
13390,Jasper County Sheriff,
13391,Rend Lake College Police,
13392,Mount Vernon Police,1600000US1751180
13393,Jefferson County Sheriff,
13394,Jerseyville Police,1600000US1738414
13395,Jersey County Sheriff,
13396,Grafton Police,1600000US1730653
13397,Elsah Police,1600000US1723776
13399,Warren Police,1600000US1778851
13400,Stockton Police,1600000US1772780
13402,Jo Daviess County Sheriff,
13404,Galena Police,1600000US1728300
13405,Elizabeth Police,1600000US1723165
13406,East Dubuque Police,1600000US1721683
13407,Apple River Police,1600000US1701673
13408,Vienna Police,1600000US1777863
13409,Johnson County Sheriff,
13410,Goreville Police,1600000US1730575
13411,Cypress Police,1600000US1718251
13413,Aurora Police,1600000US1703012
13414,Batavia Police,1600000US1704078
13415,Carpentersville Police,1600000US1711358
13416,East Dundee Police,1600000US1721696
13417,Elburn Police,1600000US1722931
13418,Elgin Community College Police,
13419,Elgin Police,1600000US1723074
13420,Fox Valley Park District Police,
13421,Geneva Police,1600000US1728872
13422,Gilberts Police,1600000US1729171
13423,Hampshire Police,1600000US1732525
13424,Kane County Forest Preserve Police,
13425,Kane County Sheriff,
13426,Maple Park Police,1600000US1746604
13427,North Aurora Police,1600000US1753442
13428,Sleepy Hollow Police,1600000US1770161
13429,South Elgin Police,1600000US1770720
13430,St. Charles Police,1600000US1766703
13431,Sugar Grove Police,1600000US1773391
13432,Waubonsee Community College Police,
13433,West Dundee Police,1600000US1780125
13436,Montgomery Police,1600000US1750218
13437,St. Anne Police,1600000US1766638
13438,Momence Police,1600000US1749893
13439,Manteno Police,1600000US1746500
13440,Kankakee Police,1600000US1738934
13441,Kankakee County Sheriff,
13443,Herscher Police,1600000US1734384
13444,Grant Park Police,1600000US1730991
13445,Essex Police,1600000US1724452
13446,Bradley Police,1600000US1707744
13447,Bourbonnais Police,1600000US1707471
13448,Aroma Park Police,1600000US1702258
13449,Yorkville Police,1600000US1784038
13450,Plano Police,1600000US1760352
13451,Oswego Police,1600000US1756887
13453,Kendall County Sheriff,
13454,Yates City Police,1600000US1783817
13455,Williamsfield Police,1600000US1781802
13456,Maquon Police,1600000US1746695
13457,Knoxville Police,1600000US1740416
13458,Knox County Sheriff,
13459,Galesburg Police,1600000US1728326
13460,East Galesburg Police,1600000US1721826
13461,Altona Police,1600000US1701140
13462,Abingdon Police,1600000US1700113
13463,Antioch Police,1600000US1701595
13464,Bannockburn Police,1600000US1703610
13465,Barrington Police,1600000US1703844
13466,Barrington Hills Police,1600000US1703883
